host_species,host_phylum,host_class,host_order,host_family,host_in_gonzalos_list,diseases,has_pilot_disease,pilot_diseases,has_pilot_include_disease,pilot_include_diseases,Not_specified,PCR_Sequencing,Isolation_Observation,Antibodies,Any_PCR_Or_Observation
Cyanocitta cristata,Chordata,Aves,Passeriformes,Corvidae,TRUE,Brazilian spotted fever; Eastern equine encephalitis; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Saint Louis encephalitis; West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,5,1,3,6
Cyclopes didactylus,Chordata,Mammalia,Pilosa,Myrmecophagidae,TRUE,Yellow fever,TRUE,Yellow fever,TRUE,Yellow fever,0,0,0,1,0
Cyclura cornuta,Chordata,Reptilia,Squamata,Iguanidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Cyclura cychlura,Chordata,Reptilia,Squamata,Iguanidae,TRUE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,0,1,0,1
Cygnus atratus,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Murray Valley encephalitis,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,1,2
Cygnus buccinator,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,3,0,0,3
Cygnus columbianus,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Q fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,6,0,3,6
Cygnus columbianus bewickii,Chordata,Aves,Anseriformes,Anatidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Cygnus cygnus,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,4,2,0,6
Cygnus melancoryphus,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Cygnus olor,Chordata,Aves,Anseriformes,Anatidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); West Nile fever,0,5,2,0,7
Cynictis penicillata,Chordata,Mammalia,Carnivora,Herpestidae,FALSE,Rabies,FALSE,,FALSE,,0,1,1,0,2
Cynomops abrasus,Chordata,Mammalia,Chiroptera,Molossidae,FALSE,Rabies,FALSE,,FALSE,,0,1,1,0,2
Cynomops planirostris,Chordata,Mammalia,Chiroptera,Molossidae,FALSE,Rabies,FALSE,,FALSE,,1,0,0,1,0
Cynomys ludovicianus,Chordata,Mammalia,Rodentia,Sciuridae,TRUE,Mpox (Monkeypox); Plague; Western equine encephalitis,TRUE,Mpox (Monkeypox); Plague,TRUE,Plague,0,1,2,0,3
Cynopterus brachyotis,Chordata,Mammalia,Chiroptera,Pteropodidae,TRUE,Dengue; Nipah virus disease; Rabies,TRUE,Dengue; Nipah virus disease,TRUE,Dengue; Nipah virus disease,0,0,2,2,2
Cynopterus sphinx,Chordata,Mammalia,Chiroptera,Pteropodidae,FALSE,Alkhumra hemorrhagic fever; Australian bat lyssavirus infection; Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Japanese encephalitis; Kyasanur Forest disease; Nipah virus disease,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Nipah virus disease,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza); Nipah virus disease,0,0,3,7,3
Cynoscion nebulosus,Chordata,Actinopterygii,Perciformes,Sciaenidae,FALSE,Non-typhoidal salmonellosis,TRUE,Non-typhoidal salmonellosis,FALSE,,0,1,0,0,1
Cyprinus carpio,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,FALSE,Cholera,FALSE,,FALSE,,0,1,0,0,1
Cypseloides niger,Chordata,Aves,Caprimulgiformes,Apodidae,TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,2,0,0,2
Cystophora cristata,Chordata,Mammalia,Carnivora,Phocidae,FALSE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),TRUE,Influenza (H5N1 avian influenza); Influenza (H7N9 avian influenza),0,0,0,2,0
Dama dama,Chordata,Mammalia,Artiodactyla,Cervidae,FALSE,Bluetongue; Epizootic haemorrhagic disease; Hepatitis E; Melioidosis; Q fever; Rabies; Tick-borne encephalitis; West Nile fever,TRUE,Hepatitis E; Tick-borne encephalitis; West Nile fever,TRUE,Hepatitis E; Tick-borne encephalitis; West Nile fever,1,1,1,6,2
Damaliscus lunatus,Chordata,Mammalia,Artiodactyla,Bovidae,FALSE,Anthrax; Bluetongue,FALSE,,FALSE,,1,0,0,1,0
Damaliscus pygargus,Chordata,Mammalia,Artiodactyla,Bovidae,FALSE,Bluetongue; Crimean-Congo hemorrhagic fever; Epizootic haemorrhagic disease,TRUE,Crimean-Congo hemorrhagic fever,TRUE,Crimean-Congo hemorrhagic fever,0,1,1,1,2
Dasymys incomtus,Chordata,Mammalia,Rodentia,Muridae,FALSE,West Nile fever,TRUE,West Nile fever,TRUE,West Nile fever,0,0,0,1,0
Dasyprocta fuliginosa,Chordata,Mammalia,Rodentia,Dasyproctidae,FALSE,Chagas disease,FALSE,,FALSE,,0,1,0,0,1
Dasyprocta leporina,Chordata,Mammalia,Rodentia,Dasyproctidae,FALSE,Chagas disease; Dengue; Mayaro virus disease; Yellow fever,TRUE,Dengue; Yellow fever,TRUE,Dengue; Yellow fever,0,1,0,3,1
