species_name,species_safe,taxonomy_level,value,n_records
Crocidura shantungensis,Crocidura_shantungensis,order,Soricomorpha,74
Crocidura shantungensis,Crocidura_shantungensis,phylum,Chordata,74
Crocidura shantungensis,Crocidura_shantungensis,species,Crocidura shantungensis,74
Ctenodactylus gundi,Ctenodactylus_gundi,class,Mammalia,53
Ctenodactylus gundi,Ctenodactylus_gundi,family,Ctenodactylidae,53
Ctenodactylus gundi,Ctenodactylus_gundi,genus,Ctenodactylus,53
Ctenodactylus gundi,Ctenodactylus_gundi,kingdom,Animalia,53
Ctenodactylus gundi,Ctenodactylus_gundi,order,Rodentia,53
Ctenodactylus gundi,Ctenodactylus_gundi,phylum,Chordata,53
Ctenodactylus gundi,Ctenodactylus_gundi,species,Ctenodactylus gundi,53
Cynopterus sphinx,Cynopterus_sphinx,class,Mammalia,598
Cynopterus sphinx,Cynopterus_sphinx,family,Pteropodidae,598
Cynopterus sphinx,Cynopterus_sphinx,genus,Cynopterus,598
Cynopterus sphinx,Cynopterus_sphinx,kingdom,Animalia,598
Cynopterus sphinx,Cynopterus_sphinx,order,Chiroptera,598
Cynopterus sphinx,Cynopterus_sphinx,phylum,Chordata,598
Cynopterus sphinx,Cynopterus_sphinx,species,Cynopterus sphinx,598
Cystophora cristata,Cystophora_cristata,class,Mammalia,76
Cystophora cristata,Cystophora_cristata,family,Phocidae,76
Cystophora cristata,Cystophora_cristata,genus,Cystophora,76
Cystophora cristata,Cystophora_cristata,kingdom,Animalia,76
Cystophora cristata,Cystophora_cristata,order,Carnivora,76
Cystophora cristata,Cystophora_cristata,phylum,Chordata,76
Cystophora cristata,Cystophora_cristata,species,Cystophora cristata,76
Dama dama,Dama_dama,class,Mammalia,128453
Dama dama,Dama_dama,family,Cervidae,128453
Dama dama,Dama_dama,genus,Dama,128453
Dama dama,Dama_dama,kingdom,Animalia,128453
Dama dama,Dama_dama,order,Artiodactyla,128453
Dama dama,Dama_dama,phylum,Chordata,128453
Dama dama,Dama_dama,species,Dama dama,128453
Damaliscus pygargus,Damaliscus_pygargus,class,Mammalia,3938
Damaliscus pygargus,Damaliscus_pygargus,family,Bovidae,3938
Damaliscus pygargus,Damaliscus_pygargus,genus,Damaliscus,3938
Damaliscus pygargus,Damaliscus_pygargus,kingdom,Animalia,3938
Damaliscus pygargus,Damaliscus_pygargus,order,Artiodactyla,3938
Damaliscus pygargus,Damaliscus_pygargus,phylum,Chordata,3938
Damaliscus pygargus,Damaliscus_pygargus,species,Damaliscus pygargus,3938
Dasymys incomtus,Dasymys_incomtus,class,Mammalia,32
Dasymys incomtus,Dasymys_incomtus,family,Muridae,32
Dasymys incomtus,Dasymys_incomtus,genus,Dasymys,32
Dasymys incomtus,Dasymys_incomtus,kingdom,Animalia,32
Dasymys incomtus,Dasymys_incomtus,order,Rodentia,32
Dasymys incomtus,Dasymys_incomtus,phylum,Chordata,32
Dasymys incomtus,Dasymys_incomtus,species,Dasymys incomtus,32
Dasyprocta leporina,Dasyprocta_leporina,class,Mammalia,1475
Dasyprocta leporina,Dasyprocta_leporina,family,Dasyproctidae,1475
Dasyprocta leporina,Dasyprocta_leporina,genus,Dasyprocta,1475
Dasyprocta leporina,Dasyprocta_leporina,kingdom,Animalia,1475
Dasyprocta leporina,Dasyprocta_leporina,order,Rodentia,1475
Dasyprocta leporina,Dasyprocta_leporina,phylum,Chordata,1475
Dasyprocta leporina,Dasyprocta_leporina,species,Dasyprocta leporina,1475
Delphinapterus leucas,Delphinapterus_leucas,class,Mammalia,580
Delphinapterus leucas,Delphinapterus_leucas,family,Monodontidae,580
Delphinapterus leucas,Delphinapterus_leucas,genus,Delphinapterus,580
Delphinapterus leucas,Delphinapterus_leucas,kingdom,Animalia,580
Delphinapterus leucas,Delphinapterus_leucas,order,Cetacea,580
